"Date","Price","Open","High","Low","Vol.","Change %"
"06/13/2024","78.09","78.28","78.89","77.67","","-0.52%"
"06/12/2024","78.50","78.22","79.32","77.88","322.29K","0.77%"
"06/11/2024","77.90","78.12","78.36","77.22","314.87K","0.21%"
"06/10/2024","77.74","75.35","78.29","75.23","317.03K","2.93%"
"06/07/2024","75.53","75.67","76.25","75.21","280.25K","-0.03%"
"06/06/2024","75.55","74.30","75.79","74.06","291.08K","2.00%"
"06/05/2024","74.07","72.90","74.33","72.82","307.70K","1.12%"
"06/04/2024","73.25","74.02","74.13","72.48","408.72K","-1.31%"
"06/03/2024","74.22","76.97","77.52","73.98","443.27K","-3.60%"
"05/31/2024","76.99","77.91","78.62","76.67","345.12K","-1.18%"
"05/30/2024","77.91","79.28","79.42","77.63","373.78K","-1.67%"
"05/29/2024","79.23","80.26","80.62","78.99","259.59K","-0.75%"
"05/28/2024","79.83","77.81","80.29","77.69","334.07K","1.50%"
"05/27/2024","78.65","77.84","78.80","77.75","","1.20%"
"05/24/2024","77.72","77.04","78.05","76.15","299.08K","1.11%"
"05/23/2024","76.87","77.29","78.66","76.43","330.27K","-0.90%"
"05/22/2024","77.57","78.21","78.41","77.25","314.15K","-2.13%"
"05/21/2024","79.26","79.70","79.72","78.08","34.18K","-0.68%"
"05/20/2024","79.80","80.01","80.60","79.17","85.07K","-0.32%"
"05/17/2024","80.06","79.38","80.14","79.00","94.15K","1.05%"
"05/16/2024","79.23","78.84","79.85","78.20","230.28K","0.76%"
"05/15/2024","78.63","78.44","78.92","76.70","321.27K","0.78%"
"05/14/2024","78.02","79.23","79.38","77.68","307.41K","-1.39%"
"05/13/2024","79.12","78.18","79.49","77.78","287.70K","1.10%"
"05/10/2024","78.26","79.59","79.96","78.14","281.17K","-1.26%"
"05/09/2024","79.26","79.23","79.80","78.91","272.71K","0.34%"
"05/08/2024","78.99","78.34","79.27","76.89","355.45K","0.78%"
"05/07/2024","78.38","78.72","79.17","77.55","327.59K","-0.13%"
"05/06/2024","78.48","78.16","79.09","77.91","297.37K","0.47%"
"05/03/2024","78.11","79.07","79.63","77.96","324.44K","-1.06%"
"05/02/2024","78.95","79.15","79.90","78.41","359.65K","-0.06%"
"05/01/2024","79.00","81.48","81.57","78.83","441.98K","-3.58%"
"04/30/2024","81.93","82.76","83.30","80.95","400.68K","-0.85%"
"04/29/2024","82.63","83.69","83.91","82.40","336.98K","-1.45%"
"04/26/2024","83.85","83.81","84.46","83.35","244.09K","0.34%"
"04/25/2024","83.57","82.83","83.83","81.99","314.12K","0.92%"
"04/24/2024","82.81","83.40","83.71","82.44","329.08K","-0.66%"
"04/23/2024","83.36","82.13","83.43","80.88","355.81K","0.62%"
"04/22/2024","82.85","83.05","83.35","81.85","30.21K","-0.35%"
"04/19/2024","83.14","82.62","86.28","81.80","76.90K","0.50%"
"04/18/2024","82.73","82.79","83.47","81.56","84.47K","0.05%"
"04/17/2024","82.69","85.36","85.51","82.55","259.54K","-3.13%"
"04/16/2024","85.36","85.70","86.18","84.75","241.34K","-0.06%"
"04/15/2024","85.41","85.93","86.11","84.05","343.89K","-0.29%"
"04/12/2024","85.66","85.60","87.67","85.24","369.96K","0.75%"
"04/11/2024","85.02","86.32","86.63","84.84","388.13K","-1.38%"
"04/10/2024","86.21","85.34","86.38","84.55","373.94K","1.15%"
"04/09/2024","85.23","86.59","86.98","85.09","314.99K","-1.39%"
"04/08/2024","86.43","86.10","87.10","84.69","393.73K","-0.55%"
"04/05/2024","86.91","86.86","87.63","86.32","353.21K","0.37%"
"04/04/2024","86.59","85.66","87.22","84.64","359.53K","1.36%"
"04/03/2024","85.43","85.46","86.20","84.85","322.55K","0.33%"
"04/02/2024","85.15","84.04","85.50","83.85","344.04K","1.72%"
"04/01/2024","83.71","83.14","84.49","82.60","321.06K","0.65%"
"03/28/2024","83.17","81.71","83.21","81.52","293.77K","2.24%"
"03/27/2024","81.35","81.29","81.74","80.55","249.96K","-0.33%"
"03/26/2024","81.62","81.94","82.36","81.22","235.85K","-0.40%"
"03/25/2024","81.95","80.85","82.48","80.59","300.36K","1.64%"
"03/22/2024","80.63","80.84","81.45","80.42","231.10K","-0.54%"
"03/21/2024","81.07","81.49","81.92","80.30","266.86K","-0.75%"
"03/20/2024","81.68","83.20","83.21","81.44","26.04K","-2.14%"
"03/19/2024","83.47","82.85","83.85","82.39","76.81K","0.91%"
"03/18/2024","82.72","81.03","83.09","81.01","84.72K","2.07%"
"03/15/2024","81.04","81.14","81.45","80.49","185.08K","-0.27%"
"03/14/2024","81.26","79.63","81.62","79.57","297.45K","1.93%"
"03/13/2024","79.72","78.06","79.90","77.57","316.39K","2.78%"
"03/12/2024","77.56","78.09","78.73","77.34","309.92K","-0.47%"
"03/11/2024","77.93","77.80","78.47","76.79","329.87K","-0.10%"
"03/08/2024","78.01","79.51","79.99","77.56","347.53K","-1.17%"
"03/07/2024","78.93","79.13","79.53","78.02","432.92K","-0.25%"
"03/06/2024","79.13","78.15","80.67","77.99","371.05K","1.25%"
"03/05/2024","78.15","78.74","79.49","77.52","436.52K","-0.75%"
"03/04/2024","78.74","80.14","80.41","78.56","347.21K","-1.54%"
"03/01/2024","79.97","78.28","80.85","78.05","363.42K","2.19%"
"02/29/2024","78.26","78.20","79.28","77.94","317.94K","-0.36%"
"02/28/2024","78.54","78.48","79.62","77.78","330.04K","-0.42%"
"02/27/2024","78.87","77.62","79.00","77.17","269.24K","1.66%"
"02/26/2024","77.58","76.40","78.03","75.84","274.71K","1.43%"
"02/23/2024","76.49","78.37","78.39","76.35","353.44K","-2.70%"
"02/22/2024","78.61","78.09","78.92","77.23","330.51K","0.90%"
"02/21/2024","77.91","77.15","78.08","76.32","323.24K","-0.35%"
"02/20/2024","78.18","78.98","79.80","77.67","34.87K","0.09%"
"02/19/2024","78.11","78.16","78.56","77.64","","-1.36%"
"02/16/2024","79.19","78.11","79.35","77.22","113.71K","1.49%"
"02/15/2024","78.03","76.60","78.44","75.78","122.43K","1.81%"
"02/14/2024","76.64","77.81","78.77","76.38","296.13K","-1.58%"
"02/13/2024","77.87","77.03","78.47","76.87","338.17K","1.24%"
"02/12/2024","76.92","76.60","77.09","75.54","248.48K","0.10%"
"02/09/2024","76.84","76.42","77.29","75.93","302.61K","0.81%"
"02/08/2024","76.22","74.08","76.59","73.56","377.91K","3.20%"
"02/07/2024","73.86","73.50","74.22","73.23","294.96K","0.75%"
"02/06/2024","73.31","72.76","73.82","72.38","310.96K","0.73%"
"02/05/2024","72.78","72.75","73.28","71.41","350.84K","0.69%"
"02/02/2024","72.28","73.91","74.52","71.79","467.77K","-2.09%"
"02/01/2024","73.82","75.96","76.95","73.70","577.94K","-2.68%"
"01/31/2024","75.85","77.84","78.11","75.52","344.49K","-2.53%"
"01/30/2024","77.82","77.02","78.14","75.85","347.24K","1.35%"
"01/29/2024","76.78","78.90","79.29","76.41","331.93K","-1.58%"
"01/26/2024","78.01","77.15","78.26","76.06","365.46K","0.84%"
"01/25/2024","77.36","75.30","77.51","75.16","320.18K","3.02%"
"01/24/2024","75.09","74.57","75.83","73.94","323.73K","0.97%"
"01/23/2024","74.37","74.68","75.25","73.41","306.06K","-1.09%"
"01/22/2024","75.19","73.41","75.75","72.89","28.91K","2.42%"
"01/19/2024","73.41","74.08","74.91","73.20","78.23K","-0.90%"
"01/18/2024","74.08","72.78","74.38","72.18","86.65K","2.09%"
"01/17/2024","72.56","72.00","72.95","70.50","315.68K","0.22%"
"01/16/2024","72.40","72.63","73.56","71.23","430.44K","-0.54%"
"01/15/2024","72.79","72.69","73.09","71.41","","0.15%"
"01/12/2024","72.68","73.01","75.25","72.36","403.64K","0.92%"
"01/11/2024","72.02","71.33","73.81","71.17","373.65K","0.91%"
"01/10/2024","71.37","72.17","73.59","71.01","352.77K","-1.20%"
"01/09/2024","72.24","70.91","72.93","70.47","363.45K","2.08%"
"01/08/2024","70.77","73.51","73.95","70.13","392.25K","-4.12%"
"01/05/2024","73.81","72.40","74.24","72.21","325.53K","2.24%"
"01/04/2024","72.19","73.04","74.00","71.06","344.47K","-0.70%"
"01/03/2024","72.70","70.50","73.23","69.28","334.86K","3.30%"
"01/02/2024","70.38","71.71","73.64","70.06","330.99K","-2.21%"
"01/01/2024","71.97","71.67","72.24","71.67","","0.45%"